ref_ID,Country,Ref,PubDate,Continent,MPA_name,MPA_size,MPA_size_cat,MPA_age,MPA_age_cat_2,MPA_age_cat,Multiple_Zones,MPA_ntake_01,MPA_notake,Ecosystem,Eco_simple,Study_design,Study_design_2,Stake_simple,Stakeholder,CPUE,Catch,Income
27,USA,"Dobrzynski T., Nicholson E. (2002) User group perceptions of the short-term impacts of marine reserves in Key West. pp. 759-763. Proceedings of the Ninth International Coral Reef Symposium, Bali, 23-27 October 2000.",2002,North America,Florida Keys National Marine Sanctuary,51.45,Medium,2,<10 years,Young,Y,Y,0.7,Subtropical,Temperate,P,Perception,Tourism  ,Ctourism  ,,,No change
30,Philippines,"Fabinyi M., Knudsen M., Segi S. (2010) Social Complexity, Ethnography and Coastal Resource Management in the Philippines. Coastal Management 38, 617.",2010,Asia,Granada MPA,0.0935,Small,8,<10 years,Medium,N,Y,1,tropical - coral reef,Tropical,O,BACI,Fisheries,Afisheries,,No change,
30,Philippines,"Fabinyi M., Knudsen M., Segi S. (2010) Social Complexity, Ethnography and Coastal Resource Management in the Philippines. Coastal Management 38, 617.",2010,Asia,Granada MPA,0.0935,Small,8,<10 years,Medium,N,Y,1,tropical - coral reef,Tropical,O,BACI,Fisheries,Afisheries,,No change,
32,USA,"Fogarty M.J., Murawski S.A. (2004) Do Marine Protected Areas Really Work? Oceanus 43, 42-44.",2004,North America,Georges Bank and nearby MPAs,20000,Large,20,>10 years,Old,Y,,0.5,temperate,Temperate,O,BACI,Fisheries,Cfisheries,,Increase,
33,France,"Forcada A., Valle C., Bonhomme P. et al. (2009) Effects of habitat on spillover from marine protected areas to artisanal fisheries. Marine Ecology Progress Series 379, 197-211.",2009,Europe,Carry-le-Rouet Marine Reserve,0.65,Small,20,>10 years,Old,Y,Y,1,temperate,Temperate,CI,BACI,Fisheries,Afisheries,Increase,Increase,
33,France,"Forcada A., Valle C., Bonhomme P. et al. (2009) Effects of habitat on spillover from marine protected areas to artisanal fisheries. Marine Ecology Progress Series 379, 197-211.",2009,Europe,Cerbère-Banyuls Marine Reserve,0.085,Small,20,>10 years,Old,Y,Y,Y,temperate,Temperate,CI,BACI,Fisheries,Afisheries,Increase,No change,
33,Spain,"Forcada A., Valle C., Bonhomme P. et al. (2009) Effects of habitat on spillover from marine protected areas to artisanal fisheries. Marine Ecology Progress Series 379, 197-211.",2009,Europe,Tabarca Marine Reserve,14,Medium,23,>10 years,Old,Y,Y,Y,temperate,Temperate,CI,BACI,Fisheries,Afisheries,Increase,Increase,
37,Spain,"Gomez S., Lloret J., Demestre M., Riera V. (2006) The Decline of the Artisanal Fisheries in Mediterranean Coastal Areas: The Case of Cap de Creus (Cape Creus). Coastal Management 34, 217-232.",2006,Europe,Cape Creus Marine Protected Area,30,Medium,7,<10 years,Medium,N,N,N,temperate,Temperate,BA,BACI,Fisheries,Afisheries,,,No change
37,Spain,"Gomez S., Lloret J., Demestre M., Riera V. (2006) The Decline of the Artisanal Fisheries in Mediterranean Coastal Areas: The Case of Cap de Creus (Cape Creus). Coastal Management 34, 217-232.",2006,Europe,Cape Creus Marine Protected Area,30,Medium,7,<10 years,Medium,N,N,N,temperate,Temperate,BA,BACI,Fisheries,Afisheries,,,No change
39,Spain,"Goni R., Hilborn R., Diaz D., Mallol S., Adlerstein S. (2010) Net contribution of spillover from a marine reserve to fishery catches. Marine Ecology Progress Series 400, 233-243.",2010,Europe,Columbretes Islands Marine Reserve,44,Medium,17,>10 years,Old,N,Y,1,temperate,Temperate,CI,BACI,Fisheries,Afisheries,,Increase,
40,Spain,"Goni R., Quetglas A., Renones O. (2006) Spillover of spiny lobsters Palinurus elephas from a marine reserve to an adjoining fishery. Marine Ecology Progress Series 308, 207-219.",2006,Europe,Columbretes Islands Marine Reserve,44,Medium,12,>10 years,Old,N,Y,1,temperate,Temperate,CI,BACI,Fisheries,Afisheries,Increase,,
42,South Africa,"Gotz A., Kerwath S.E., Attwood C.G. (2013) A step-by-step framework to assess benefits of established temperate marine protected areas. South African Journal of Science 109, 1.",2013,Africa,Goukamma Marine Protected Area,40,Medium,22,>10 years,Old,N,Y,1,temperate,Temperate,D,BACI,Fisheries,Cfisheries,Increase,Increase,
43,Italy,"Guidetti P., Bussotti S., Pizzolante F., Ciccolella A. (2010) Assessing the potential of an artisanal fishing co-management in the Marine Protected Area of Torre Guaceto (southern Adriatic Sea, SE Italy). Fisheries Research 101, 180-187.",2010,Europe,Torre Guaceto,22.27,Medium,18,>10 years,Old,Y,Y,0.080377189,temperate,Temperate,CI,BACI,Fisheries,Afisheries,Increase,,Increase
44,Italy,"Guidetti P., Claudet J. (2010) Comanagement Practices Enhance Fisheries in Marine Protected Areas. Conservation Biology 24, 312-318.",2010,Europe,Torre Guaceto,22.27,Medium,18,>10 years,Old,Y,Y,0.080377189,temperate,Temperate,CI,BACI,Fisheries,Afisheries,Increase,,
45,England,"Hattam, C.E., Mangi, S.C., Gall, S.C., Rodwell, L.D., 2014. Social impacts of a temperate fisheries closure: understanding stakeholders' views. Marine Policy 45, 269-278.",2014,Europe,Lyme Bay,206,Large,2,<10 years,Young,Y,N,0,temperate,Temperate,P,Perception,Fisheries,Cfisheries,,No change,
45,England,"Hattam, C.E., Mangi, S.C., Gall, S.C., Rodwell, L.D., 2014. Social impacts of a temperate fisheries closure: understanding stakeholders' views. Marine Policy 45, 269-278.",2014,Europe,Lyme Bay,206,Large,2,<10 years,Young,Y,N,0,temperate,Temperate,P,Perception,Tourism,Ctourism,,,Increase
46,Italy,"Himes, A.H., 2003. Small-Scale Sicilian Fisheries: Opinions of Artisanal Fishers and Sociocultural Effects in Two MPA Case Studies. Coastal Management 31, 389-408.",2003,Europe,Gulf of Castellammare,200,Large,12,>10 years,Old,Y,N,0,temperate,Temperate,P,Perception,Fisheries,Afisheries,Increase,Increase,
